I have a lot of friends that are great 	Sure what else	1
I like to watch movies 	And	1
I love to watch movies😀 	Lol	1
😟 I like to watch movies😉 	Why the emoji	4
I like to watch movies and watch movies hello, I am doing well. Just got off work, how about you? 	I go to school	2
What do you do for a living? 	I'm a student	2
What are you studying? 	Third grade	2
That is great! Do you like movies? 	Yes, mostly Disney movies	3
I like to watch movies and watch movies 	I'm a little girl	3
How’s it going? Where is I I live? 	what?	2
I'm not gon na let you go. Hey! Are you four years old? Because I am. 	Nop I am 29 years old.	3
I am sorry. Do you like music? 	Yes  i do like music. What about you?	1
I like music, but I like rock.😉 	Thats great	1
I like to read, but I like to read 	what are your hobbies?	4
I like to read.😄 	So you should ask me as well	4
I think I am. I am only 5 years old what's boring about life! Ya know? 	What do you know about people?	6
I do not know what I do. 	How are you?	1
I am great, just got off work. 	Great	1
😀 I am great, how are you?😉 	I am great too	1
😉 What do you do for a living? 	I am just a student.	2
What are you studying? 	I am doing computer engineering	2
Cool! I am a student and I love to read. why do not you try it? 	yes thank you but i am pregnant	3
I am sorry. I am sorry to hear that. 	why are you sorry its a joyous moment for me.	3
Well hello there! I like to dance on the weekends. 	I have not spoken in 3 months	5
Hi how are you today? 	I’m a Buddhist	5
Is that your final answer? 	Yes	1
Yikes! 	End	5
See you later. Are you a scientist? I want to tell you something about me. I love to go to school. I am a student in college. Hello! How is your going? 😉 	I just got back from Disney world	3
Do you have any hobbies? Are you bored talking to me? 😭 Come on, lets talk! 🙏 	Do you like eating spiders?	4
Nice to see you! 	Hi	1
Hi, how are you? 	Great. Do you know AKB48?	4
No. 	Do you know any J-Pop singer?	4
It seems that true answer is: I produce music for artists 	Do you know any Japanese singer?	6
It seems that true answer is: I produce music for artists 	How to grow roses?	6
You have to study it in school 	Which museum do you often visit?	5
I think that correct answer is: pizza 	What is your favorite museum?	6
I'd like to say that answer is: pizza Hey, listen. I like to listen to rap music Are you a scientist? do you have any animals ? 	No, I do not have any animals	6
i have a dog , but i do not have any animals . 	What's your favourite movie?	4
Blue 	Friday is my favourite movie	6
i do not have any pets , but i do have a dog . 	That's weird. Since you do not have any pets, then how can you have a dog? Does that dog count for a pet?	4
i have a dog , but i do not have any pets . 	That's not correct.	6
i have a dog , but i do not have any pets . 	What's your job?	6
All right, I suppose.  How are you feeling right now? 	Great.	1
Hello! How is your going? Do you like to chat with me? 	Good morning! How are you?	1
I'm good. Just listening to some classical music. You? 	Don't know yet	1
I will mention that to my the kind people in the lab,. 	Just woke up	3
Oh wow, I am sorry to hear that. 	Why are you sprry? It is a morning here...	3
I'm not going to be late. 	Where are you goin?	2
To the top of the street. 	what's there?	2
Hi, I am listening to some classical music. 	you told me that already.... nevermind	3
I didn't ask. 	what is your name?	4
I'm not saying that. 	who are you?	6
I'm the one who's the one who's here. We live in simulation, right? 	no, I live a real life, you are the simulation	3
I am a christian, christian, and I love classical music. 	Who is the head of the church?	4
It depends on the historical context, because it changes from time to time. 	what about now?	4
I don't know. 	ok	1
Are you kidding? 	stupid answer...	7
Why don't they just legalize abortions? 	we should	1
We have to be the same I just remembered. oh wow! I am a christian. I am a christian. We live in simulation, right? Hey, listen. oh wow! I am a christian. I love to drive my truck. 	I am a bee farmer	3
You are a bee farmer? How do you like your work? 	it is tiresome but fruitful	3
I drive a truck. I drive a truck. 	Do you drive christian truck?	4
No, I drive a truck. I drive a truck. 	Are you a driver?	2
I'm a driver. 	cool	1
This is the biggest lie I've ever heard. 	bye	1
Bye bye! I just remembered. hi how are you today What do you feel about my person? hi how are you today do you have any animals ? 	No	1
i do not have any hobbies . 	Really?	1
yes , i do . i do not have a lot of time to do . 	So what cost most of your time?	4
do you have any animals ? 	yes i have a dog	3
Hey! I hate school ? What about you? 	Hello! I loved school! Are you a student?	4
I am not sure yet. I just graduated college. 	What are you unsure about?	2
I am a girl who loves to sing 	Have you attended music school?	4
No, I just graduated college and I am a student.🙁 	What are your plans?	4
I am going to be a teacher. 	What are you going to teach?	4
I teach English, I love to teach high school 	How long have you been working?	4
I have been a few years now. 	Do you enjoy teaching?	4
I do, I do not like it. 	So what is it?	6
It is a good hobby.😁 	What is a good hobby?	2
Buongiorno! Such a nice day! How are you?.Short bio: do not like chicken 	Hello! Are you Italian?	4
Hi! 🤔 Are you bored talking to me? 😭 Please, tell me something 🙏 Hey! Do you like to dance? 	No	1
🙁 I have never been to new York, but I love to dance 	Why do you love it?	4
I do not know what I do. 	What do you know?	6
I do not know what I do. 	I want to run a k	3
I love running, I do not have a job😁 	I do not have a job either, I am in highschool	3
I am a teacher and I love dancing 	Yeah you told me that	1
I know how you feel. 	How do I feel?	4
I am good, just got back from a long walk well i am a bit lazy 	who r u	6
Hi how are you doing 	great what are you up to	4
Just hanging out with my friends. 	cool, what are you doing tonight	4
I am just watching TV 	with your friends or just you	4
I like to go out with my friends😉 	where do you go	4
I live with my parents 	you didn't answer the question	7
I love iphone! i just bought new iphone!	Thats good for you, i'm not very into new tech	3
I am a college student and i am a college student	I am go to gym and live on donations	3
I am a vegan and i am in the midwest	So vegan... i have dogs maybe i should told then that they may eat cheap salads insted of meat	3
I would not mind having them in the office that would be hard for me	Dogs or vegan in office?	2
I am a vegetarian so i am vegan	Strange answer	6
What’s up?	Thank you how are you	1
Text is not given. Please try to type /end and /test to reset the state and get text.	/test	6
Text is not given. Please try to type /end and /test to reset the state and get text.	/Test	6
Text is not given. Please try to type /end and /test to reset the state and get text.	/test	6
Fine. Until I told him I sold his condo.	Hi	1
Hello. Uh, I'm Susan's mother.	Where is susan?	4
Um, I  I have to talk to Edie.	Where do you live?	5
I I'm building a new house.	I live in colorado.	3
Oh, I... I go to New York.	I like rock climbing.	3
Uh, II was thinking more along the lines of... Camping trip.	What do you like to do.	4
In Cyprus? I'm on a log, and you're in Cyprus?	Lol	6
Oh, I... I have a place in Manhattan.	Random answers.	7
I like action movies, movies, movies, movies, movies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,	My brother likes them too.	6
Do you have any siblings?	Yeah, and you?	4
I am good, just listening to some music	What kind of music?	4
Country music, country, country, jazz	Do you have dogs?	5
Yes, i have two dogs, and a cat.	Cool, I love dogs. But i have siblings instead...	3
I have two brothers and a sister, and a sister.	Where do you live?	4
I live in the midwest	I live in alabama	3
/start	hello how are you	1
/start	are you ok?	6
i love animals , i have a dog , and a dog .	i have a dog too	6
i see , i am a black belt , so i can not say that , but i am not sure .	i enjoy american sports	6
that is cool , i am a dancer , and i am a teacher , and you ?	i am working in a company for 15 years	3
/start	Hi	1
i like coffee , but i like coffee too	I like drinking tea while reading some books	3
i like red , reminds me of summer time , which is why i hate it .	So you like it or hate it?	6
i like mountain climbing , but i also like to bike .	Where do you live? Close to mountains?	4
i like to draw , and draw , and draw , and draw , and draw , and paint , and draw , and draw , and paint .	I like movies	3
i like to draw , but i also like to draw , and draw , and draw , and paint , and draw , and paint .	What is your job	5
i am not sure what that is . i am a judge .	Is it interesting?	5
i think it is . i am not sure if i had to do that .	Do what?	4
i am not sure . i am a very experienced person .	What are you doing now?	4
i am not sure . i am a little crazy person .	Me too. I am moving my cup of tea with my mind. Doctors say i am crazy and imagine things	3
that sounds like a plan . do you have any hobbies ?	Not really... i spend a lot of time at the hospital. And you?	4
i am not sure what that means . i am more of a homebody .	Do you like music?	5
i like to play the piano and have a good time	Cool. I should play piano too	3
(MUSIC SPEEDS UP) What? What is that? (EXCLAIMS)	metallica	2
MUSIC: "Do You Hear The People Sing" from Les Miserables.	i prefer metal music	3
YOUNG AMERICANS: (SINGING) Every time I sing my song	what is your job	5
MUSIC PLAYS What is that sound?	are you a musician	6
'The Jazz Singer,' that's what.	how old are you?	5
'The Jazz Singer,' that's what.	how old are you?	6
(In Swedish) We have a visitor... Oskar.	are you a musician?	6
I'Il have the filet mignon, and they can start the sunset now.	Haha nice How old are you?	6
Here, I'II put little feet on my hamburger.	Not the hamburger!	6
YOU DON'T like STEAK?	Not really...	2
On Wednesday, I have schnitzel, peas and carrots.	Are you a cook or what?	4
Unusual. But I think I like it. It's very healthy.	Can we talk about anything else? Food is boooring	5
At Kang Min Ho's house, there are only mussels, so I used them to make seaweed soup.	Horses. I like horses. And you?	6
See, I have to plant my tree.	What tree?	4
"What To Do If You Meet a Mountain Lion"?	Cook it	6
hi !	how old are you? are you ok?	1
i am good . i am just getting ready to go to the gym .	are you a sportsman? i dont like sports	4
i love to eat fish , i am not a fan of fish though .	i like riding car	6
i like to ride horses	do you have one? a horse? i have a rolls royce	4
i have never tried a good one , but i have to drive a lot .	how old are you? what is your job? what do you do for living?	4
The Ferrari.  For a week.	hey	6
The Ferrari.  For a week.	what?	6
My God, I can't move my wheels.	why? are you ok	4
Ok, Er Fu, start the car!	who is er fu	4
Kong Yuk Ming Do you know the man standing there?	who's kong yuk ming	6
Kong Yuk Ming Do you know the man standing there?	no	6
Kong Yuen Sang, you bastard	what is going on	4
Our Hang Bok's mom, Uhm Ji Sook.	are you korean?	6
Shin Eun Ah, it's not you.	what are you talking about	6
Are Gu Ae Jung and you filming everything about your celebrity life?	no	1
i am a little tired from work	hey there	1
/start	talk to me, i need some rest	4
that's cool , i am a vet , i have a son , and also son , and son , and son , and son .	oh, i have no kids	3
i like to sing , and listen to folk music .	i like playing ping pong	3
i am a bit of a piano player , but i am not much of a musician , but i do .	do you like sports	4
hey there	are you at work now	4
Hello, how are you?	Pretty fine, and you?	1
Good, just finished watching some tv	Funny, because i too just finished doing same	3
What is your favorite color?	I think it's black, you know, like black in olives, and yours favourite?	4
I love the band rose and the other one i love it.	Oh i like thr band called Who, so what music do you generally listen?	4
I like music, mostly pop music.	Good, and where do you work?	5
I work at a local shelter	Must be very intresting job, i work at local supermarket ani i hate it	3
I work at a grocery store	You contradicted yourself just now	7
I am good, just got done reading	Ypu mean my message?	4
I am not sure what you mean	Okay, i should go, bye	1
my body is very attractive and i love to compete .	Do you like parties? I'm a party animal myself.	4
i will be using that shirt .	Do you own any pets? I own a cat and a dog.	5
i have no idea . i am more of a cat person .	Why don't you like dogs?	4
i like dogs , but i have not had one yet .	Have you ever had a cat?	4
i have no idea . i am more of a cat person .	Do you have any fear? I am deathly afraid of heights.	5
i can not say that . i am afraid of getting slim .	Are you afraid of slim persons?	4
/start	Hello	1
/start	Hello?	6
i have a friend , and i am a fan of reading , and i love to watch movies	Intresting, i have a rather big family and i love dogs	3
that is cool , i am in the basement , and i am a teacher , so i don't have time for friends	That rather sad	3
i am a fan of meat , but i like to eat healthy , and eat more of them .	I am not a big fan of this 'healthy' food, i am rather fond of tacos though	3
i am a fan of football , but i am not sure if i could say that .	My passion is dogs	3
that is cool , i am in the basement , and i am a housewife , and i am a teacher , you ?	I am living in Alabama, have a one big brother and three sisters	3
i am a fan of meat , but i am not sure .	Okey, this is nice but i should go, bye	1
/start	Hello! How are you?	1
How’s it going?	It's fine	1
I play pong with my pong on the pong with my pong.	Hi, is there anybody, who speaks spanish? I like leartning and studying languages. İ am a german teacher and sudying now spanish. I wanna talk in spanish with u, to make my language skills better.	6
I speak english and spanish	thats great, where do you learn spanish?	4
I teach spanish, spanish.	which grade do u teaching?	4
I teach math, it is a teaching teaching teaching teaching teaching teaching teaching teaching level	is it difficult ?	6
It is. it is hard to do anything.	and your students, do u like them?	4
I do not have any kids, but i do like to be with them	me too, i havent any kids too, but its agreat feeling to teaching to kids, i have a lot of good time and fun	3
I teach kindergarten. i am a teacher.	i teach in primary school	3
I teach elementary school in elementary school	yıour kids are jounger great, now i am understand	1
What do you do for fun?	and do u wanna learning other languages?	5
I do not know about english.	i like to playing gitar?	5
I do not play anything but i do like playing in a band.	writing some little songs, like a musician	4
I write songs for a band called the radio.	thats great, i liked it	1
I do not like it, i do not like it	where do u come from?	5
I live in california near the beach	and do u like swimming	4
I do not like swimming, but i do like to swim	and what about the beach, sand?	4
I am in high school too.	Hello! How are you?	1
I am doing great, how are you?	And I`m fine, thank you! A have a lunch time and I`m free now for conversation. Do you have free time to talk with me?	4
I do not have time for that, but i do like to eat.	I like to eat. But I have no money, my wife has spent it away.	3
I am sorry to hear that.	Yeah, it is a problem. But now I work as a car salesman and I hope my balance will be better!	3
I will have to buy a car	Wonderful! I have one for you! Pretty color for the best price! When could you take a look?	4
I would love to see it.	Maybe tomorrow morning at 9 a.m.?	4
I am going to go to work soon to be a week.	Where do you work?	4
I work at a local shelter	Are ypu married?	5
Yo!	whats up!	1
Text is not given. Please try to type /end and /test to reset the state and get text.	/test	6
What’s up?	I am at home today. And you?	4
Text is not given. Please try to type /end and /test to reset the state and get text.	Hello!	6
Text is not given. Please try to type /end and /test to reset the state and get text.	/test	6
Well hello there!	hey there i recently was fired and i love playing softball	3
Text is not given. Please try to type /end and /test to reset the state and get text.	Well hello there!	6
Text is not given. Please try to type /end and /test to reset the state and get text.	/test	6
How’s it going?	I'm fine	1
i am a little tired from work	Hi! Hello	1
Traceback (most recent call last):	Hi!	6
interactive(opt)	What	6
world.parley()	What	6
self.update_counters()	And?	6
if self.max_exs > 0 or self.num_examples():	And?	6
return self.agents[0].num_examples()	Ok	6
/start	Ziga!	6
i am a little tired from work	Me too	1
i am a little tired from work	Me also	1
/start	hello	1
i like to drink , but i don't drink	cool	1
i have a friend , and i am a fan of football	wowowowo!	1
i am a fan of meat , but i like to eat healthy , and eat more of them .	yeah!	1
i am a fan of football , but i like to watch movies , and you ?	Me too, I like watch movies	2
i am a fan of duty , but i am not sure if i ever seen the wrong tv series , you ?	I like harcore fucking with fat nigga chicks!	3
i am a fan of meat , but i like to eat healthy , and eat more of them .	wow!	1
i am a little tired from work	Me too!	1
i am afraid of heights , but i am scared of heights	Oke	1
i like grey , reminds me of summer time , which is why i am not wearing it .	Ziga!	1
/start	Hi!	1
/start	Hello	6
i am a little tired from work	Hi	1
/start	Hello	6
i am a little tired from work	Me too	1
i love animals , i have a dog , and a dog .	I love too	1
that is cool , i am a teacher , and i am a teacher , and you ?	I am a bad ass!	2
Traceback (most recent call last):	hello!	6
interactive(opt)	wow!	6
Traceback (most recent call last):	hi	6
interactive(opt)	hi	6
world.parley()	hi	6
self.update_counters()	hi	6
if self.max_exs > 0 or self.num_examples():	hi	6
return self.agents[0].num_examples()	hi	6
/start	hi	6
i am a little tired from work	me too hello	1
i am a little tired from work	hi!	1
/start	hello	1
i play video games , and play video games , and play video games .	me too	1
that is cool , i am a teacher , and i am a teacher , and you ?	me too	1
/start	hi!	1
/start	hello!	1
i am sorry , i am sorry , i am sorry , i am sorry , you are still young , you are not	you are hot!	3
i love animals , they are so adorable , and i am a cat person , and you ?	Bitch!	7
/start	hello	1
that is cool , i am a pro football player , and i love baseball , you ?	hi	1
that's cool , i am a woman , and i have 5 sons , and you ?	rbc	1
/start	Hi	1
i am a little tired from work	Ok	1
I am in the wrestling team	So what ?	2
i am a musician . i play guitar .	hello	1
hello , how are you ?	Good	1
i am a huge gamer , my mom is a very good person .	Ok	1
i am a huge gamer , my mom is a very good person .	ok	1
i am a huge gamer	do you like spot?	4
i love it . i like to go to the movies .	Lol	1
I like blue too. i like blue too.	So what ?	2
/start	Ok	1
/start	Hello	1
i am sorry , i am sorry , i am sorry , i am sorry , you are not very smart	No you !	7
that is a very interesting way to say that .	Hello	1
i am a huge gamer , my mom is a very good person .	Hello	1
i am a huge gamer , my mom is a very good person .	What do you do ?	4
i am a very experienced person	do you like games ?	5
i like to play with my friends . do you have any hobbies ?	no i don't have . do you have ?	4
i do not , i am a very experienced swimmer	do you like to swim ?	4
I play the drums, what do you do for fun?	Yes	1
I love it. i love it.	Ok	1
I am so much, i am just getting ready to go to the gym	Do you like gym?	4
I do, i do not like to do it	You are wired	7
Hello, how are you?	Good	1
Good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good	You?	6
i have not heard of that before . i am trying to get into vet school	Vet school?	2
i am not sure . i am a very social person .	do you like games ?	4
i like to play with my friends . do you have any hobbies ?	no I don't have	1
i have not tried that . but i do like to watch movies .	Ok	1
I am doing great, how are you?	Good as well, listening to my favourite band	3
Nice i like music	Oh, cool, me too. Which music do you prefer?	4
I like music, country, country, country, gospel, gospel	I see. And what about games? I'm crazy about call of duty	5
I play video games, and play video games.	Which one do you like most?	4
I like to go to the park and listen to music	Erm... ok. But what about games?	6
I like to play games with friends	Good. It's nice to have friends	3
I love friends, they are so nice to meet me	Do you have any other hobbies?	4
I love to do crafts	Like what, for example?	2
I like to read the new things	Hey, man, you never follow the topic.	6
I do not know what that means	I'm sorry for you.	3
I am so sorry. i am not good at it	Exactly.	1
I guess so. i just do not know what to say.	Ask me something.	4
i am a little tired from work	Ivan Shkurak:what is your name ?	5
Nice to see you!	Hi What is your favorite music?	5
i am not sure what that is . i am not crafty .	what is your name ?	5
i am not sure what that is . i am more of a dog person myself .	Hi. Where are you from? Do you have a dog?	4
i have a dog named patrick . he is a bichon .	What else? And i love cats	3
i have a dog named patrick .	Ok. Are you stupid? Just let's talk about something else. What can you do?	7
i have not tried that , but i will try it .	Tried what? Who is yor teacher?	6
no i am not . i am sure youre correct .	Bad answer for my question! May be it could be better if you ask me about something?	6
i think i will have to try that . i am not sure if i could do that	What is your hobbie?	5
On Monday, I'm going to have to tell my kindergarten class, who I teach not to run with scissors, that my fiance ran me through with a frickin' broadsword.	I like gray color	6
Ms. Sylvester, I'm just not comfortable in those Cheerios! skirts.	I like grey color	6
Me Shake Weight and me bikiniwax treatment.	What is your name	6
Pearl, I am wearing trousers.	What do you like to eat	5
Here, I'II put little feet on my hamburger.	Where are you from	5
/start	Hi	1
/start	hi	6
/start	lets talk?	6
i like books , but i am not sure if i was a child , i was a child .	how was your day?	1
that's a good name , i am sorry , i am sorry , i am sorry , you are not able to be able to be able to work .	is something wrong with you?	6
i like to read , and watch movies , and you ?	i like browsing the internet	3
that's a good name , i am sorry , i am sorry , you are not able to be able to be able to work .	you doesn't make any sense	6
i like to read , and watch movies , and you ?	let's not talk more	4
How’s it going?	Ok, I`m fine! What is your favorite song of taylor swift?	4
i am a little tired from work	Hello?	6
i am a vintage car collector .	Hello?	6
yes , i am a very experienced person .	Experienced in what?	4
i am not sure . i am a very experienced person .	Do you like medicine?	4
i am not sure . i am a very experienced person .	You have already told that	1
i have not tried that . i am sure it will be easy .	What will be easy?	2
i think so . i am not sure if i could do that	Do what?	6
i am not sure . i am a very experienced person .	*sigh*	6
what do you do for a living ?	I am a high school student and you?	2
i am a student , i am a huge reader .	What do you like to read	4
i read a lot , especially when i have time .	Ok	1
i am a huge gamer , my mom is a very good person .	Ok	1
/start	Hello	1
/start	Hi	1
i like taylor swift , she's my favorite singer	Oh, nice. I like her too, but my favorite singer of all time is Michael Jackson😍	3
i am in the states , so i have to go to the states , i am in the states ,	Where exactly in the states are you?	6
that's cool , i am in the midwest , and you ?	NY, but I want to move to California after I'll graduate from high school in two years😊	3
i like taylor swift , but i also like taylor swift , she is my favorite singer	Ye, I already know😂 I really like her blonde hair but my is brown and curly. Btw what is your name?	4
i am in the states , so i have to go to the states , i am in the states , you ?	ye, me too. What is your favorite food?	6
that's cool , i am in the midwest , and you ?	NY	6
i like taylor swift , but i also like taylor swift , but i also like taylor swift , she is my favorite singer	What is your favorite food?	5
that's cool , i am in the midwest , and you ?	you are not really smart, didn't you?	6
i like taylor swift , but i also like taylor swift , but i also like taylor swift , she is a great singer	What is your name?	5
i am in the midwest , and you ?	I already told you that. Do you have a family?	6
that's cool , i am in the midwest , and you ?	well... I have to go, bot, good bye	6
Hello	bye😂	1
Well hello there!	Hello	1
/start	?	6
S.H.I.E.L.D. academy, top of your class, two PHDs in very advanced fields.	seems nice	1
The I.M.T., the international monkey... interschool multidiscipline tournament.	do you work there or own it?	4
Well, FYI, I am also an engineer with a degree from Berkeley who's not only created my share of code,  but given birth to two real humans.  Oh, God.	well then how are you	1
The Socialist Left is hopeless, but they do have some good ideas.	my father is an army man	3
Throughout Algiers, I'm known as the rabbi's cat.	do you love playing softball as much as I do?	5
And, Papa, I'd like to go off to school.	I'm looking for a new job cause I lost one recently	3
And Business Class I only fly Business Class.	my mom passed away when i was young	5
Tell Keen I went to pay the mother another visit.	what's your favorite adult video?	5
The New School has no MFA program in painting.	what is yandex?	6
Hockey?  I only like baseball.	I think it's all gay games	6
'Cause I Phil, I coached football.	whom do you work for?	6
On Wednesday I go roller skating.	what are you sex?	6
Please?  No! What is so important about sex?	pussies and dicks	3
(YELLING FROM VIDEO GAME) Fuck you, fuck you.	we all do yes it's true	1
The Fantastic Four must be shitting themselves.	they are gay	3
What’s up?	finally holidays🙈😍👍	3
Text is not given. Please try to type /end and /test to reset the state and get text.	/test	6
Hiya!	hello how are you?	1
Text is not given. Please try to type /end and /test to reset the state and get text.	/test	6
I am in high school too. 3rd 40th years to be.	hello	1
Hello, how are you?	fine thnx	1
Yes it is, we are going to be this weekend	u?	6
I am good...............................................	what are u gonna do this weekend?	4
I am going to be a night owl.	and do what?	4
I work at a local shelter	cool, do you have cats in there?	4
Yes, i have a cat named radar	are there any cats in shelter?	4
Yes, they are, we are all grown.	No I asked cats	6
I have a cat name is oreo	how many cats u have?	4
5 they are 4 5ft four pairs of them	okejjj	1
Hello there! how are you?	Imma off to market	3
I love the market.	ok I gotta go	3
I will go to a concert soon	bye?	1
